,Rk,Player,School,Conf,G,Passing_Cmp,Passing_Att,Passing_Pct,Passing_Yds,Passing_Y/A,Passing_AY/A,Passing_TD,Passing_Int,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_Avg,Rushing_TD
849,83,Brogan Roback,Eastern Michigan,MAC,12,209,344,60.8,2275,6.6,6.1,16,11,125.3,52,51,1.0,1
850,84,Patrick Towles,Kentucky,SEC,11,183,326,56.1,2148,6.6,5.2,9,14,112.0,71,64,0.9,5
851,85,Tyler Stewart,Nevada,MWC,13,186,326,57.1,2138,6.6,6.5,15,7,123.0,98,322,3.3,4
852,86,Jaquez Johnson,Florida Atlantic,CUSA,10,128,239,53.6,1586,6.6,6.1,9,7,115.9,100,290,2.9,2
853,87,Alex McGough,Florida International,CUSA,12,270,420,64.3,2722,6.5,6.6,21,8,131.4,88,95,1.1,3
854,88,Dalton Sturm,UTSA,CUSA,10,124,211,58.8,1361,6.5,6.2,13,7,126.6,128,356,2.8,1
855,89,Joel Lanning,Iowa State,Big 12,11,107,192,55.7,1247,6.5,6.6,10,4,123.3,94,330,3.5,4
856,90,Billy Bahl,Miami (OH),MAC,11,98,220,44.5,1409,6.4,4.5,8,13,98.5,39,-70,-1.8,0
857,91,Blake Frohnapfel,Massachusetts,MAC,12,266,472,56.4,2919,6.2,5.6,16,13,114.0,63,53,0.8,1
858,92,Thomas Sirk,Duke,ACC,12,251,427,58.8,2624,6.1,6.1,16,8,119.0,163,809,5.0,8
859,93,Garrett Smith,Louisiana-Monroe,Sun Belt,10,191,334,57.2,2033,6.1,5.6,17,11,118.5,108,250,2.3,2
860,94,Tanner Lee,Tulane,American,9,143,276,51.8,1639,5.9,5.6,11,7,109.8,23,-162,-7.0,0
861,95,Riley Neal,Ball State,MAC,11,228,391,58.3,2276,5.8,5.9,16,6,117.6,88,399,4.5,2
862,96,Wes Lunt,Illinois,Big Ten,12,270,481,56.1,2761,5.7,5.8,14,6,111.5,24,-153,-6.4,1
863,97,Johnny McCrary,Vanderbilt,SEC,10,146,267,54.7,1533,5.7,4.2,6,12,101.3,70,194,2.8,2
864,98,Perry Hills,Maryland,Big Ten,9,90,180,50.0,1001,5.6,3.2,8,13,96.9,109,535,4.9,3
865,99,Ryan Willis,Kansas,Big 12,10,164,315,52.1,1719,5.5,4.5,8,10,99.9,58,-82,-1.4,0
866,100,Justin Holman,UCF,American,9,127,250,50.8,1374,5.5,3.5,7,14,95.0,46,140,3.0,0
867,Rk,Player,School,Conf,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate,Att,Yds,Avg,TD
868,101,David Blough,Purdue,Big Ten,10,169,293,57.7,1574,5.4,4.8,10,8,108.6,67,94,1.4,4
