,Rk,Player,School,Conf,G,Passing_Cmp,Passing_Att,Passing_Pct,Passing_Yds,Passing_Y/A,Passing_AY/A,Passing_TD,Passing_Int,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_Avg,Rushing_TD
207,92,Jordan McCloud,South Florida,American,12,124,224,55.4,1429,6.4,5.8,12,8,119.5,105,283,2.7,4
208,93,Carson Strong,Nevada,MWC,10,237,374,63.4,2335,6.2,6.0,11,7,121.8,54,-6,-0.1,0
209,94,Josh Jackson,Maryland,Big Ten,10,98,207,47.3,1274,6.2,6.0,12,6,112.4,53,-53,-1.0,0
210,95,Max Duggan,TCU,Big 12,12,181,339,53.4,2077,6.1,5.7,15,10,113.6,130,555,4.3,6
211,96,Riley Neal,Vanderbilt,SEC,11,149,258,57.8,1585,6.1,6.0,9,5,117.0,53,47,0.9,0
212,97,Lowell Narcisse,UTSA,CUSA,11,107,201,53.2,1226,6.1,5.8,8,5,112.6,118,492,4.2,4
213,98,James Graham,Georgia Tech,ACC,11,87,193,45.1,1164,6.0,5.6,12,7,109.0,99,290,2.9,3
214,99,Josh Adkins,New Mexico State,Ind,12,275,437,62.9,2588,5.9,5.0,14,15,116.4,106,41,0.4,4
215,100,Ryan Hilinski,South Carolina,SEC,11,236,406,58.1,2357,5.8,5.8,11,5,113.4,33,-55,-1.7,1
216,Rk,Player,School,Conf,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate,Att,Yds,Avg,TD
217,101,Quentin Harris,Duke,ACC,12,209,357,58.5,2078,5.8,5.3,16,11,116.1,160,510,3.2,7
218,102,Grant Loy,Bowling Green State,MAC,12,115,203,56.7,1137,5.6,3.8,6,11,102.6,100,427,4.3,4
